2019-09-18 00:03:34.3094 | INFO | System.Net.Http.HttpClient.IYandexMusicClient.LogicalHandler |  | End processing HTTP request after 145.2677ms - OK 
2019-09-18 00:03:34.3094 | INFO | System.Net.Http.HttpClient.IYandexMusicClient.LogicalHandler |  | End processing HTTP request after 145.2677ms - OK 
2019-09-18 00:03:35.3305 | INFO | System.Net.Http.HttpClient.IYandexMusicClient.LogicalHandler |  | Start processing HTTP request GET https://music.yandex.ru/api/v2.1/handlers/track/9431/track/download/m?hq=1 
2019-09-18 00:03:35.3305 | INFO | System.Net.Http.HttpClient.IYandexMusicClient.LogicalHandler |  | Start processing HTTP request GET https://music.yandex.ru/api/v2.1/handlers/track/9431/track/download/m?hq=1 
2019-09-18 00:03:35.3305 | INFO | System.Net.Http.HttpClient.IYandexMusicClient.ClientHandler |  | Sending HTTP request GET https://music.yandex.ru/api/v2.1/handlers/track/9431/track/download/m?hq=1 
2019-09-18 00:03:35.3305 | INFO | System.Net.Http.HttpClient.IYandexMusicClient.ClientHandler |  | Sending HTTP request GET https://music.yandex.ru/api/v2.1/handlers/track/9431/track/download/m?hq=1 
2019-09-18 00:03:35.3800 | INFO | System.Net.Http.HttpClient.IYandexMusicClient.ClientHandler |  | Received HTTP response after 48.0562ms - OK 
2019-09-18 00:03:35.3800 | INFO | System.Net.Http.HttpClient.IYandexMusicClient.ClientHandler |  | Received HTTP response after 48.0562ms - OK 
2019-09-18 00:03:35.3814 | INFO | System.Net.Http.HttpClient.IYandexMusicClient.LogicalHandler |  | End processing HTTP request after 50.9306ms - OK 
2019-09-18 00:03:35.3814 | INFO | System.Net.Http.HttpClient.IYandexMusicClient.LogicalHandler |  | End processing HTTP request after 50.9306ms - OK 
2019-09-18 00:03:35.3814 | INFO | System.Net.Http.HttpClient.IYandexMusicClient.LogicalHandler |  | Start processing HTTP request GET https://storage.mds.yandex.net/file-download-info/207154_0299f95e.53928837.1.9431/2?sign=8acebf8b0f908513c431181d9bbedf9be20f484b49e8856da0a76c0c7531f226&ts=5d814a62&format=json 
2019-09-18 00:03:35.3814 | INFO | System.Net.Http.HttpClient.IYandexMusicClient.LogicalHandler |  | Start processing HTTP request GET https://storage.mds.yandex.net/file-download-info/207154_0299f95e.53928837.1.9431/2?sign=8acebf8b0f908513c431181d9bbedf9be20f484b49e8856da0a76c0c7531f226&ts=5d814a62&format=json 
2019-09-18 00:03:35.3814 | INFO | System.Net.Http.HttpClient.IYandexMusicClient.ClientHandler |  | Sending HTTP request GET https://storage.mds.yandex.net/file-download-info/207154_0299f95e.53928837.1.9431/2?sign=8acebf8b0f908513c431181d9bbedf9be20f484b49e8856da0a76c0c7531f226&ts=5d814a62&format=json 
2019-09-18 00:03:35.3814 | INFO | System.Net.Http.HttpClient.IYandexMusicClient.ClientHandler |  | Sending HTTP request GET https://storage.mds.yandex.net/file-download-info/207154_0299f95e.53928837.1.9431/2?sign=8acebf8b0f908513c431181d9bbedf9be20f484b49e8856da0a76c0c7531f226&ts=5d814a62&format=json 
2019-09-18 00:03:35.4629 | INFO | System.Net.Http.HttpClient.IYandexMusicClient.ClientHandler |  | Received HTTP response after 79.2734ms - OK 
2019-09-18 00:03:35.4629 | INFO | System.Net.Http.HttpClient.IYandexMusicClient.ClientHandler |  | Received HTTP response after 79.2734ms - OK 
2019-09-18 00:03:35.4629 | INFO | System.Net.Http.HttpClient.IYandexMusicClient.LogicalHandler |  | End processing HTTP request after 81.6504ms - OK 
2019-09-18 00:03:35.4629 | INFO | System.Net.Http.HttpClient.IYandexMusicClient.LogicalHandler |  | End processing HTTP request after 81.6504ms - OK 
